,station,date,PRCP,SNOW,SNWD
0,GHCND:US1DCDC0001,2006-05-01T00:00:00,0.0,0.0,
1,GHCND:US1DCDC0001,2006-05-02T00:00:00,0.0,0.0,
2,GHCND:US1DCDC0001,2006-05-03T00:00:00,0.0,0.0,
3,GHCND:US1DCDC0001,2006-05-04T00:00:00,0.0,0.0,
4,GHCND:US1DCDC0001,2006-05-05T00:00:00,0.0,0.0,
5,GHCND:US1DCDC0001,2006-05-06T00:00:00,0.0,0.0,
6,GHCND:US1DCDC0001,2006-05-07T00:00:00,0.0,0.0,
7,GHCND:US1DCDC0001,2006-05-08T00:00:00,4.8,0.0,
8,GHCND:US1DCDC0001,2006-05-09T00:00:00,1.0,0.0,
9,GHCND:US1DCDC0001,2006-05-10T00:00:00,0.0,0.0,
10,GHCND:US1DCDC0001,2006-05-11T00:00:00,0.0,0.0,
11,GHCND:US1DCDC0001,2006-05-12T00:00:00,25.4,0.0,
12,GHCND:US1DCDC0001,2006-05-13T00:00:00,5.8,0.0,
13,GHCND:US1DCDC0001,2006-05-14T00:00:00,0.0,0.0,
14,GHCND:US1DCDC0001,2006-05-15T00:00:00,3.3,0.0,
15,GHCND:US1DCDC0001,2006-05-16T00:00:00,0.0,0.0,
16,GHCND:US1DCDC0001,2006-05-17T00:00:00,0.0,0.0,
17,GHCND:US1DCDC0001,2006-05-18T00:00:00,0.5,0.0,
18,GHCND:US1DCDC0001,2006-05-19T00:00:00,1.5,0.0,
19,GHCND:US1DCDC0001,2006-05-20T00:00:00,1.0,0.0,
20,GHCND:US1DCDC0001,2006-05-21T00:00:00,0.0,0.0,
21,GHCND:US1DCDC0001,2006-05-22T00:00:00,0.0,0.0,
22,GHCND:US1DCDC0001,2006-05-23T00:00:00,0.0,0.0,
23,GHCND:US1DCDC0001,2006-05-24T00:00:00,0.0,0.0,
24,GHCND:US1DCDC0001,2006-05-25T00:00:00,0.0,0.0,
25,GHCND:US1DCDC0001,2006-05-26T00:00:00,0.0,0.0,
26,GHCND:US1DCDC0001,2006-05-27T00:00:00,7.6,0.0,
27,GHCND:US1DCDC0001,2006-05-28T00:00:00,0.0,0.0,
28,GHCND:US1DCDC0001,2006-05-29T00:00:00,0.0,0.0,
29,GHCND:US1DCDC0001,2006-05-30T00:00:00,0.0,0.0,
30,GHCND:US1DCDC0001,2006-05-31T00:00:00,0.0,0.0,
31,GHCND:US1DCDC0001,2006-06-01T00:00:00,0.0,0.0,
32,GHCND:US1DCDC0001,2006-06-02T00:00:00,0.3,0.0,
33,GHCND:US1DCDC0001,2006-06-03T00:00:00,0.8,0.0,
34,GHCND:US1DCDC0001,2006-06-04T00:00:00,0.0,0.0,
35,GHCND:US1DCDC0001,2006-06-05T00:00:00,0.0,0.0,
36,GHCND:US1DCDC0001,2006-06-06T00:00:00,0.0,0.0,
37,GHCND:US1DCDC0001,2006-06-07T00:00:00,0.0,0.0,
38,GHCND:US1DCDC0001,2006-06-08T00:00:00,0.0,0.0,
39,GHCND:US1DCDC0001,2006-06-09T00:00:00,1.5,0.0,
40,GHCND:US1DCDC0001,2006-06-10T00:00:00,8.4,0.0,
41,GHCND:US1DCDC0001,2006-06-11T00:00:00,0.0,0.0,
42,GHCND:US1DCDC0001,2006-06-12T00:00:00,4.3,0.0,
43,GHCND:US1DCDC0001,2006-06-13T00:00:00,5.1,0.0,
44,GHCND:US1DCDC0001,2006-06-14T00:00:00,0.0,0.0,
45,GHCND:US1DCDC0001,2006-06-15T00:00:00,0.0,0.0,
46,GHCND:US1DCDC0001,2006-06-16T00:00:00,0.0,0.0,
47,GHCND:US1DCDC0001,2006-06-17T00:00:00,0.0,0.0,
48,GHCND:US1DCDC0001,2006-06-18T00:00:00,0.0,0.0,
49,GHCND:US1DCDC0001,2006-06-19T00:00:00,0.0,0.0,
50,GHCND:US1DCDC0001,2006-06-20T00:00:00,40.1,0.0,
51,GHCND:US1DCDC0001,2006-06-21T00:00:00,2.0,0.0,
52,GHCND:US1DCDC0001,2006-06-22T00:00:00,0.0,0.0,
53,GHCND:US1DCDC0001,2006-06-23T00:00:00,19.3,0.0,
54,GHCND:US1DCDC0001,2006-06-24T00:00:00,0.0,0.0,
55,GHCND:US1DCDC0001,2006-06-25T00:00:00,6.4,0.0,
56,GHCND:US1DCDC0001,2006-06-26T00:00:00,187.2,0.0,
57,GHCND:US1DCDC0001,2006-06-27T00:00:00,41.1,0.0,
58,GHCND:US1DCDC0001,2006-06-28T00:00:00,13.7,0.0,
59,GHCND:US1DCDC0001,2006-06-29T00:00:00,0.3,0.0,
60,GHCND:US1DCDC0001,2006-06-30T00:00:00,0.0,0.0,
61,GHCND:US1DCDC0001,2006-07-01T00:00:00,0.0,0.0,
62,GHCND:US1DCDC0001,2006-07-02T00:00:00,0.0,0.0,
63,GHCND:US1DCDC0001,2006-07-03T00:00:00,0.0,0.0,0.0
64,GHCND:US1DCDC0001,2006-07-04T00:00:00,0.0,0.0,0.0
65,GHCND:US1DCDC0001,2006-07-05T00:00:00,9.1,0.0,0.0
66,GHCND:US1DCDC0001,2006-07-06T00:00:00,71.4,0.0,0.0
67,GHCND:US1DCDC0001,2006-07-07T00:00:00,0.3,0.0,0.0
68,GHCND:US1DCDC0001,2006-07-08T00:00:00,0.0,0.0,
69,GHCND:US1DCDC0001,2006-07-09T00:00:00,0.0,0.0,
70,GHCND:US1DCDC0001,2006-07-10T00:00:00,0.0,0.0,
71,GHCND:US1DCDC0001,2006-07-11T00:00:00,0.0,0.0,
72,GHCND:US1DCDC0001,2006-07-12T00:00:00,0.0,0.0,0.0
73,GHCND:US1DCDC0001,2006-07-13T00:00:00,2.8,0.0,0.0
74,GHCND:US1DCDC0001,2006-07-14T00:00:00,0.0,0.0,0.0
75,GHCND:US1DCDC0001,2006-07-15T00:00:00,0.0,0.0,
76,GHCND:US1DCDC0001,2006-07-16T00:00:00,0.0,0.0,0.0
77,GHCND:US1DCDC0001,2006-07-17T00:00:00,0.0,0.0,
78,GHCND:US1DCDC0001,2006-07-18T00:00:00,0.0,0.0,
79,GHCND:US1DCDC0001,2006-07-19T00:00:00,0.5,0.0,0.0
80,GHCND:US1DCDC0001,2006-07-20T00:00:00,0.0,0.0,
81,GHCND:US1DCDC0001,2006-07-21T00:00:00,0.0,0.0,
82,GHCND:US1DCDC0001,2006-07-22T00:00:00,0.0,0.0,
83,GHCND:US1DCDC0001,2006-07-23T00:00:00,15.0,0.0,0.0
84,GHCND:US1DCDC0001,2006-07-24T00:00:00,0.0,0.0,0.0
85,GHCND:US1DCDC0001,2006-07-25T00:00:00,0.0,0.0,
86,GHCND:US1DCDC0001,2006-07-26T00:00:00,0.0,0.0,
87,GHCND:US1DCDC0001,2006-07-27T00:00:00,0.0,0.0,
88,GHCND:US1DCDC0001,2006-07-28T00:00:00,0.0,0.0,
89,GHCND:US1DCDC0001,2006-07-29T00:00:00,0.0,0.0,0.0
90,GHCND:US1DCDC0001,2006-07-30T00:00:00,0.0,0.0,
91,GHCND:US1DCDC0001,2006-07-31T00:00:00,0.0,0.0,
92,GHCND:US1DCDC0001,2006-08-01T00:00:00,0.0,0.0,
93,GHCND:US1DCDC0001,2006-08-02T00:00:00,0.0,0.0,
94,GHCND:US1DCDC0001,2006-08-03T00:00:00,0.0,0.0,
95,GHCND:US1DCDC0001,2006-08-04T00:00:00,0.3,0.0,0.0
96,GHCND:US1DCDC0001,2006-08-05T00:00:00,0.0,0.0,
97,GHCND:US1DCDC0001,2006-08-06T00:00:00,0.0,0.0,
98,GHCND:US1DCDC0001,2006-08-07T00:00:00,12.4,0.0,0.0
99,GHCND:US1DCDC0001,2006-08-08T00:00:00,0.0,0.0,0.0
100,GHCND:US1DCDC0001,2006-08-09T00:00:00,0.0,0.0,
101,GHCND:US1DCDC0001,2006-08-10T00:00:00,0.0,0.0,
102,GHCND:US1DCDC0001,2006-08-11T00:00:00,1.3,0.0,
103,GHCND:US1DCDC0001,2006-08-12T00:00:00,0.0,0.0,
104,GHCND:US1DCDC0001,2006-08-13T00:00:00,0.0,0.0,
105,GHCND:US1DCDC0001,2006-08-14T00:00:00,0.0,0.0,
106,GHCND:US1DCDC0001,2006-08-15T00:00:00,0.0,0.0,
107,GHCND:US1DCDC0001,2006-08-16T00:00:00,0.0,0.0,
108,GHCND:US1DCDC0001,2006-08-17T00:00:00,0.0,0.0,
109,GHCND:US1DCDC0001,2006-08-18T00:00:00,0.0,0.0,
110,GHCND:US1DCDC0001,2006-08-19T00:00:00,0.0,0.0,
111,GHCND:US1DCDC0001,2006-08-20T00:00:00,0.0,0.0,
112,GHCND:US1DCDC0001,2006-08-21T00:00:00,0.0,0.0,
113,GHCND:US1DCDC0001,2006-08-22T00:00:00,0.0,0.0,
114,GHCND:US1DCDC0001,2006-08-24T00:00:00,0.0,0.0,
115,GHCND:US1DCDC0001,2006-08-25T00:00:00,0.0,0.0,
116,GHCND:US1DCDC0001,2006-08-26T00:00:00,0.0,0.0,
117,GHCND:US1DCDC0001,2006-08-27T00:00:00,0.0,0.0,
118,GHCND:US1DCDC0001,2006-08-28T00:00:00,0.3,0.0,0.0
119,GHCND:US1DCDC0001,2006-08-29T00:00:00,0.0,0.0,0.0
120,GHCND:US1DCDC0001,2006-08-30T00:00:00,0.5,0.0,0.0
121,GHCND:US1DCDC0001,2006-08-31T00:00:00,0.5,0.0,0.0
